t,gt_x,gt_y,gt_z,gt_roll,gt_pitch,gt_yaw,est_x,est_y,est_z,est_roll,est_pitch,est_yaw
0.0000,-0.006232,-0.002205,-2.808289,0.000104,0.000664,-0.001299,-0.000159,-0.000020,-0.605402,-0.000090,0.000626,-0.001438
0.0000,-0.006232,-0.002205,-2.808289,0.000104,0.000664,-0.001299,-0.000159,-0.000020,-0.605402,-0.000090,0.000626,-0.001438
0.0500,-0.006233,-0.002204,-2.808101,0.000100,0.000674,-0.001298,-0.000158,-0.000020,-0.605220,0.000084,0.000681,-0.001209
0.1000,-0.006233,-0.002204,-2.807915,0.000097,0.000684,-0.001298,-0.000161,-0.000021,-0.639861,0.000091,0.000583,-0.001342
0.1500,-0.006234,-0.002204,-2.807730,0.000094,0.000693,-0.001298,-0.000163,-0.000020,-0.639654,0.000150,0.000768,-0.001266
0.2000,-0.006234,-0.002203,-2.807548,0.000091,0.000702,-0.001298,-0.000164,-0.000020,-0.674202,0.000088,0.000727,-0.001136
0.2500,-0.006235,-0.002203,-2.807367,0.000088,0.000710,-0.001298,-0.000164,-0.000020,-0.673894,0.000070,0.000662,-0.001401
0.3000,-0.006235,-0.002203,-2.807188,0.000085,0.000718,-0.001298,-0.000165,-0.000021,-0.708064,0.000007,0.000740,-0.001189
0.3500,-0.006236,-0.002202,-2.807011,0.000082,0.000726,-0.001298,-0.000166,-0.000021,-0.707918,-0.000082,0.000451,-0.001347
0.4000,-0.006236,-0.002202,-2.806836,0.000079,0.000733,-0.001297,-0.000162,-0.000024,-0.741785,0.000187,0.000632,-0.001218
0.4500,-0.006237,-0.002202,-2.806662,0.000076,0.000739,-0.001297,-0.000164,-0.000024,-0.741595,0.000065,0.000563,-0.001207
0.5000,-0.006237,-0.002201,-2.806490,0.000074,0.000745,-0.001297,-0.000166,-0.000024,-0.775300,0.000172,0.000755,-0.001426
0.5500,-0.006238,-0.002201,-2.806320,0.000071,0.000751,-0.001297,-0.000165,-0.000023,-0.774925,0.000057,0.000719,-0.001424
0.6000,-0.006238,-0.002201,-2.806152,0.000069,0.000757,-0.001297,-0.000163,-0.000025,-0.808004,0.000114,0.000774,-0.001206
0.6500,-0.006239,-0.002201,-2.805985,0.000066,0.000762,-0.001297,-0.000160,-0.000025,-0.807904,-0.000001,0.000760,-0.001160
0.7000,-0.006239,-0.002200,-2.805820,0.000064,0.000767,-0.001297,-0.000163,-0.000027,-0.840457,-0.000074,0.000549,-0.001340
0.7500,-0.006240,-0.002200,-2.805657,0.000062,0.000772,-0.001297,-0.000169,-0.000024,-0.840285,0.000066,0.000838,-0.001360
0.8000,-0.006240,-0.002200,-2.805495,0.000060,0.000776,-0.001297,-0.000169,-0.000023,-0.872707,-0.000003,0.000812,-0.001191
0.8500,-0.006241,-0.002200,-2.805335,0.000058,0.000780,-0.001297,-0.000167,-0.000026,-0.872248,0.000080,0.000892,-0.001317
0.9000,-0.006242,-0.002199,-2.805177,0.000056,0.000784,-0.001296,-0.000163,-0.000029,-0.903847,-0.000037,0.000794,-0.001061
0.9500,-0.006242,-0.002199,-2.805020,0.000054,0.000788,-0.001296,-0.000162,-0.000030,-0.903641,-0.000052,0.000772,-0.001098
1.0000,-0.006243,-0.002199,-2.804865,0.000053,0.000791,-0.001296,-0.000160,-0.000031,-0.934669,-0.000089,0.000812,-0.001253
1.0500,-0.006243,-0.002199,-2.804711,0.000051,0.000794,-0.001296,-0.000161,-0.000029,-0.934513,0.000067,0.000814,-0.001318
1.1000,-0.006244,-0.002198,-2.804559,0.000049,0.000797,-0.001296,-0.000158,-0.000029,-0.964939,-0.000074,0.000829,-0.001320
1.1520,-0.006244,-0.002198,-2.804409,0.000048,0.000800,-0.001296,-0.000158,-0.000027,-0.964787,0.000012,0.000669,-0.001120
1.2000,-0.006245,-0.002198,-2.804260,0.000046,0.000803,-0.001296,-0.000155,-0.000025,-0.994650,0.000048,0.000688,-0.001362
1.2500,-0.006245,-0.002198,-2.804112,0.000045,0.000806,-0.001296,-0.000154,-0.000025,-0.994429,0.000022,0.000605,-0.001276
1.3000,-0.006246,-0.002197,-2.803966,0.000044,0.000808,-0.001296,-0.000152,-0.000026,-1.023600,-0.000064,0.000775,-0.001223
1.3500,-0.006246,-0.002197,-2.803822,0.000043,0.000810,-0.001296,-0.000158,-0.000026,-1.023471,-0.000047,0.000834,-0.001268
1.4000,-0.006247,-0.002197,-2.803678,0.000041,0.000813,-0.001296,-0.000151,-0.000028,-1.052008,0.000238,0.000725,-0.001229
1.4500,-0.006248,-0.002197,-2.803537,0.000040,0.000815,-0.001295,-0.000152,-0.000032,-1.051853,0.000018,0.000823,-0.001117
1.5000,-0.006248,-0.002197,-2.803397,0.000039,0.000817,-0.001295,-0.000147,-0.000037,-1.079838,0.000161,0.000717,-0.001486
