t,gt_x,gt_y,gt_z,gt_roll,gt_pitch,gt_yaw,est_x,est_y,est_z,est_roll,est_pitch,est_yaw
0.0000,-0.006239,-0.002199,-2.805334,0.000058,0.000780,-0.001294,0.002761,0.003458,-1.954910,0.000217,0.000718,-0.001218
0.0000,-0.006239,-0.002199,-2.805334,0.000058,0.000780,-0.001294,0.002761,0.003458,-1.954910,0.000217,0.000718,-0.001218
0.0520,-0.006239,-0.002199,-2.805175,0.000056,0.000784,-0.001294,0.002757,0.003458,-1.954720,-0.000053,0.000812,-0.001327
0.1000,-0.006240,-0.002198,-2.805019,0.000054,0.000788,-0.001294,0.002759,0.003458,-1.954565,-0.000004,0.000615,-0.001272
0.1500,-0.006240,-0.002198,-2.804863,0.000053,0.000791,-0.001294,0.002756,0.003460,-1.954369,-0.000028,0.000828,-0.001247
0.2000,-0.006241,-0.002198,-2.804710,0.000051,0.000794,-0.001294,0.002754,0.003462,-1.954267,0.000038,0.000832,-0.001226
0.2500,-0.006241,-0.002198,-2.804558,0.000049,0.000797,-0.001294,0.002754,0.003462,-1.954037,0.000052,0.000828,-0.001313
0.3000,-0.006242,-0.002198,-2.804407,0.000048,0.000800,-0.001294,0.002754,0.003462,-1.953926,-0.000051,0.000590,-0.001383
0.3500,-0.006243,-0.002197,-2.804258,0.000047,0.000803,-0.001294,0.002752,0.003461,-1.953755,0.000126,0.000840,-0.001277
0.4000,-0.006243,-0.002197,-2.804111,0.000045,0.000806,-0.001294,0.010113,0.004770,-1.953605,0.000035,0.000878,-0.001265
0.4500,-0.006244,-0.002197,-2.803965,0.000044,0.000808,-0.001294,0.010113,0.004771,-1.953422,0.000014,0.000956,-0.001345
0.5000,-0.006244,-0.002197,-2.803820,0.000043,0.000810,-0.001294,0.010115,0.004772,-1.953330,0.000034,0.000701,-0.001287
0.5500,-0.006245,-0.002196,-2.803677,0.000042,0.000813,-0.001294,0.010114,0.004772,-1.953107,-0.000035,0.000731,-0.001155
0.6020,-0.006245,-0.002196,-2.803535,0.000040,0.000815,-0.001294,0.010113,0.004774,-1.953006,-0.000014,0.000950,-0.001223
0.6500,-0.006246,-0.002196,-2.803395,0.000039,0.000817,-0.001293,0.010112,0.004776,-1.952852,0.000132,0.000746,-0.001397
0.7000,-0.006247,-0.002196,-2.803256,0.000038,0.000818,-0.001293,0.010114,0.004776,-1.952701,-0.000030,0.000964,-0.001139
0.7500,-0.006247,-0.002196,-2.803119,0.000037,0.000820,-0.001293,0.010114,0.004779,-1.952535,0.000110,0.000737,-0.001418
0.8000,-0.006248,-0.002196,-2.802983,0.000037,0.000822,-0.001293,0.010114,0.004780,-1.952453,-0.000077,0.000799,-0.001221
0.8500,-0.006248,-0.002195,-2.802849,0.000036,0.000823,-0.001293,0.010112,0.004779,-1.952236,-0.000021,0.000923,-0.001442
0.9000,-0.006249,-0.002195,-2.802715,0.000035,0.000825,-0.001293,0.010112,0.004778,-1.952145,0.000196,0.000886,-0.001363
0.9500,-0.006249,-0.002195,-2.802583,0.000034,0.000826,-0.001293,0.010111,0.004776,-1.951940,0.000024,0.000826,-0.001215
1.0000,-0.006250,-0.002195,-2.802453,0.000033,0.000828,-0.001293,0.010110,0.004777,-1.951855,0.000023,0.000881,-0.001306
1.0500,-0.006250,-0.002195,-2.802324,0.000033,0.000829,-0.001293,0.010108,0.004781,-1.951705,-0.000047,0.000907,-0.001098
1.1000,-0.006251,-0.002195,-2.802196,0.000032,0.000830,-0.001293,0.010109,0.004780,-1.951558,0.000019,0.000551,-0.001435
1.1500,-0.006252,-0.002194,-2.802069,0.000032,0.000831,-0.001293,0.010106,0.004779,-1.951421,0.000064,0.000748,-0.001409
1.2000,-0.006252,-0.002194,-2.801944,0.000031,0.000832,-0.001293,0.010101,0.004780,-1.951339,0.000195,0.000775,-0.001311
1.2500,-0.006253,-0.002194,-2.801820,0.000031,0.000833,-0.001293,0.010102,0.004780,-1.951154,0.000077,0.000884,-0.001354
1.3000,-0.006253,-0.002194,-2.801697,0.000030,0.000834,-0.001293,0.010102,0.004780,-1.951063,-0.000034,0.000913,-0.001273
1.3500,-0.006254,-0.002194,-2.801575,0.000030,0.000835,-0.001293,0.010103,0.004780,-1.950928,0.000003,0.000700,-0.001466
1.4000,-0.006254,-0.002194,-2.801455,0.000029,0.000836,-0.001293,0.018984,0.006154,-1.950806,0.000032,0.000951,-0.001234
1.4500,-0.006255,-0.002194,-2.801336,0.000029,0.000837,-0.001293,0.018985,0.006154,-1.950658,0.000231,0.000935,-0.001276
1.5020,-0.006255,-0.002193,-2.801218,0.000028,0.000838,-0.001293,0.018987,0.006153,-1.950586,0.000187,0.000779,-0.001208
1.5500,-0.006256,-0.002193,-2.801102,0.000028,0.000838,-0.001293,0.018985,0.006153,-1.950405,0.000081,0.000848,-0.001433
1.6000,-0.006256,-0.002193,-2.800986,0.000028,0.000839,-0.001293,0.018984,0.006153,-1.950323,-0.000018,0.000842,-0.001395
1.6500,-0.006257,-0.002193,-2.800872,0.000027,0.000840,-0.001293,0.018984,0.006155,-1.950202,0.000099,0.000820,-0.001209
1.7000,-0.006257,-0.002193,-2.800759,0.000027,0.000841,-0.001292,0.018983,0.006154,-1.950077,0.000045,0.000927,-0.001297
1.7520,-0.006258,-0.002193,-2.800647,0.000027,0.000841,-0.001292,0.018983,0.006154,-1.949944,-0.000191,0.000784,-0.001403
1.8000,-0.006258,-0.002193,-2.800536,0.000026,0.000842,-0.001292,0.018983,0.006155,-1.949880,0.000059,0.000737,-0.001126
1.8500,-0.006259,-0.002193,-2.800426,0.000026,0.000842,-0.001292,0.018983,0.006153,-1.949702,0.000123,0.000927,-0.001222
1.9000,-0.006259,-0.002193,-2.800317,0.000026,0.000843,-0.001292,0.018982,0.006153,-1.949628,0.000063,0.000942,-0.001138
1.9500,-0.006260,-0.002192,-2.800210,0.000026,0.000843,-0.001292,0.018983,0.006151,-1.949522,0.000010,0.000892,-0.001146
2.0000,-0.006260,-0.002192,-2.800103,0.000025,0.000844,-0.001292,0.018980,0.006153,-1.949393,0.000133,0.000835,-0.001403
2.0500,-0.006261,-0.002192,-2.799998,0.000025,0.000844,-0.001292,0.018979,0.006154,-1.949274,-0.000114,0.000960,-0.001509
2.1000,-0.006261,-0.002192,-2.799894,0.000025,0.000845,-0.001292,0.018979,0.006155,-1.949218,-0.000061,0.000918,-0.001106
2.1500,-0.006262,-0.002192,-2.799790,0.000025,0.000845,-0.001292,0.018975,0.006152,-1.949043,0.000039,0.000767,-0.001326
2.2000,-0.006262,-0.002192,-2.799688,0.000025,0.000846,-0.001292,0.018974,0.006150,-1.948977,0.000083,0.000782,-0.001211
2.2500,-0.006263,-0.002192,-2.799587,0.000025,0.000846,-0.001292,0.018975,0.006152,-1.948825,-0.000102,0.000821,-0.001394
2.3000,-0.006263,-0.002192,-2.799487,0.000024,0.000847,-0.001292,0.018974,0.006152,-1.948753,0.000039,0.000946,-0.001339
2.3500,-0.006264,-0.002192,-2.799388,0.000024,0.000847,-0.001292,0.018973,0.006151,-1.948647,-0.000025,0.000859,-0.001307
2.4000,-0.006264,-0.002192,-2.799290,0.000024,0.000848,-0.001292,0.006363,0.002458,-1.948533,-0.000016,0.000923,-0.001389
2.4500,-0.006265,-0.002192,-2.799193,0.000024,0.000848,-0.001292,0.006361,0.002458,-1.948424,-0.000026,0.000700,-0.001353
2.5000,-0.006265,-0.002191,-2.799096,0.000024,0.000848,-0.001292,0.006360,0.002458,-1.948367,0.000102,0.000740,-0.001282
2.5500,-0.006265,-0.002191,-2.799001,0.000024,0.000849,-0.001292,0.006363,0.002459,-1.948219,0.000130,0.000878,-0.001208
2.6000,-0.006266,-0.002191,-2.798907,0.000024,0.000849,-0.001292,0.006362,0.002458,-1.948152,0.000076,0.000755,-0.001300
2.6500,-0.006266,-0.002191,-2.798814,0.000024,0.000849,-0.001292,0.006361,0.002457,-1.948058,0.000091,0.001042,-0.001432
2.7000,-0.006267,-0.002191,-2.798722,0.000024,0.000850,-0.001292,0.006360,0.002458,-1.947954,-0.000069,0.000940,-0.001377
2.7500,-0.006267,-0.002191,-2.798630,0.000023,0.000850,-0.001292,0.006362,0.002459,-1.947846,-0.000027,0.000770,-0.001328
2.8000,-0.006268,-0.002191,-2.798540,0.000023,0.000850,-0.001292,0.006363,0.002461,-1.947796,-0.000022,0.000815,-0.001376
2.8500,-0.006268,-0.002191,-2.798450,0.000023,0.000851,-0.001292,0.006361,0.002459,-1.947650,0.000019,0.000816,-0.001406
2.9000,-0.006269,-0.002191,-2.798362,0.000023,0.000851,-0.001292,0.006360,0.002458,-1.947590,-0.000097,0.000845,-0.001399
