t,gt_x,gt_y,gt_z,gt_roll,gt_pitch,gt_yaw,est_x,est_y,est_z,est_roll,est_pitch,est_yaw
0.0000,-0.006052,-0.002126,-2.813533,0.000103,0.000732,-0.001252,-0.026050,0.003999,-2.264840,0.000249,0.000834,-0.001268
0.0000,-0.006052,-0.002126,-2.813533,0.000103,0.000732,-0.001252,-0.026050,0.003999,-2.264840,0.000249,0.000834,-0.001268
0.0500,-0.006052,-0.002125,-2.813342,0.000100,0.000743,-0.001252,-0.028013,0.004235,-2.216682,0.000125,0.000746,-0.001220
0.1000,-0.006053,-0.002125,-2.813153,0.000097,0.000753,-0.001252,-0.028554,0.004326,-2.230638,0.000079,0.000677,-0.001120
0.1500,-0.006053,-0.002125,-2.812966,0.000094,0.000762,-0.001252,-0.030397,0.004537,-2.185716,-0.000100,0.000763,-0.001340
0.2000,-0.006054,-0.002124,-2.812781,0.000090,0.000771,-0.001252,-0.030962,0.004628,-2.196353,0.000304,0.000793,-0.001276
0.2500,-0.006054,-0.002124,-2.812597,0.000087,0.000779,-0.001252,-0.032689,0.004813,-2.155256,0.000078,0.000714,-0.001229
0.3000,-0.006054,-0.002124,-2.812416,0.000084,0.000787,-0.001252,-0.033277,0.004907,-2.163025,0.000121,0.000845,-0.001274
0.3500,-0.006055,-0.002124,-2.812236,0.000081,0.000795,-0.001252,-0.034896,0.005054,-2.126087,0.000081,0.000764,-0.001302
0.4000,-0.006055,-0.002123,-2.812058,0.000079,0.000802,-0.001252,-0.035502,0.005150,-2.131419,-0.000005,0.000704,-0.001164
0.4500,-0.006056,-0.002123,-2.811882,0.000076,0.000808,-0.001252,-0.037008,0.005285,-2.098766,0.000066,0.000874,-0.001209
0.5000,-0.006056,-0.002123,-2.811708,0.000073,0.000815,-0.001251,-0.037628,0.005382,-2.102066,0.000068,0.000945,-0.001183
0.5500,-0.006057,-0.002122,-2.811535,0.000071,0.000820,-0.001251,-0.039066,0.005528,-2.073662,0.000066,0.000826,-0.001201
0.6000,-0.006057,-0.002122,-2.811364,0.000068,0.000826,-0.001251,-0.039695,0.005623,-2.075301,0.000021,0.000654,-0.001132
