t,gt_x,gt_y,gt_z,gt_roll,gt_pitch,gt_yaw,est_x,est_y,est_z,est_roll,est_pitch,est_yaw
0.0000,-0.006051,-0.002121,-2.810167,0.000053,0.000859,-0.001253,0.000006,0.000443,-1.960994,0.000154,0.000787,-0.001244
0.0000,-0.006051,-0.002121,-2.810167,0.000053,0.000859,-0.001253,0.000006,0.000443,-1.960994,0.000154,0.000787,-0.001244
0.0500,-0.006051,-0.002121,-2.810010,0.000051,0.000862,-0.001253,0.000010,0.000449,-1.960618,-0.000011,0.000900,-0.001180
0.1000,-0.006052,-0.002120,-2.809854,0.000050,0.000865,-0.001253,0.000015,0.000455,-1.960680,0.000106,0.000877,-0.001250
0.1500,-0.006052,-0.002120,-2.809701,0.000048,0.000868,-0.001253,0.000019,0.000464,-1.960311,0.000049,0.000754,-0.001278
0.2000,-0.006053,-0.002120,-2.809548,0.000047,0.000871,-0.001253,0.000023,0.000470,-1.960378,-0.000014,0.000937,-0.001250
0.2500,-0.006053,-0.002120,-2.809398,0.000045,0.000874,-0.001253,0.000023,0.000479,-1.960015,-0.000009,0.000949,-0.001295
0.3000,-0.006054,-0.002120,-2.809248,0.000044,0.000877,-0.001253,0.000025,0.000487,-1.960088,0.000038,0.000920,-0.001259
0.3500,-0.006054,-0.002119,-2.809101,0.000043,0.000879,-0.001252,0.000027,0.000498,-1.959728,0.000042,0.001063,-0.001535
0.4000,-0.006055,-0.002119,-2.808955,0.000042,0.000881,-0.001252,0.000032,0.000506,-1.959807,0.000118,0.000876,-0.001243
0.4500,-0.006055,-0.002119,-2.808810,0.000041,0.000883,-0.001252,0.000035,0.000517,-1.959451,-0.000153,0.000939,-0.001256
0.5000,-0.006056,-0.002119,-2.808667,0.000040,0.000885,-0.001252,0.000038,0.000528,-1.959534,0.000129,0.000952,-0.001435
0.5500,-0.006056,-0.002119,-2.808525,0.000039,0.000887,-0.001252,0.000042,0.000541,-1.959180,-0.000156,0.000934,-0.001404
0.6020,-0.006057,-0.002118,-2.808384,0.000038,0.000889,-0.001252,0.000047,0.000551,-1.959269,-0.000121,0.001041,-0.001238
0.6500,-0.006057,-0.002118,-2.808245,0.000037,0.000891,-0.001252,0.000054,0.000567,-1.958916,-0.000151,0.000924,-0.001189
0.7000,-0.006058,-0.002118,-2.808108,0.000036,0.000892,-0.001252,0.000062,0.000579,-1.959009,-0.000050,0.000976,-0.001144
0.7520,-0.006058,-0.002118,-2.807972,0.000035,0.000894,-0.001252,0.000070,0.000600,-1.958658,-0.000021,0.000858,-0.001288
0.8000,-0.006059,-0.002118,-2.807837,0.000034,0.000895,-0.001252,0.000078,0.000616,-1.958755,-0.000087,0.000634,-0.001179
0.8500,-0.006059,-0.002117,-2.807704,0.000034,0.000897,-0.001252,0.000085,0.000640,-1.958404,-0.000063,0.000988,-0.001344
0.9000,-0.006060,-0.002117,-2.807572,0.000033,0.000898,-0.001252,0.000093,0.000657,-1.958505,0.000049,0.000809,-0.001314
0.9500,-0.006060,-0.002117,-2.807441,0.000032,0.000899,-0.001252,0.000098,0.000682,-1.958156,0.000054,0.000937,-0.001325
1.0000,-0.006061,-0.002117,-2.807312,0.000032,0.000900,-0.001252,0.000103,0.000699,-1.958260,0.000047,0.000991,-0.001203
1.0500,-0.006061,-0.002117,-2.807183,0.000031,0.000901,-0.001251,0.000109,0.000724,-1.957911,0.000025,0.000882,-0.001361
1.1000,-0.006062,-0.002117,-2.807057,0.000030,0.000903,-0.001251,0.000116,0.000743,-1.958019,-0.000133,0.000995,-0.001122
1.1500,-0.006062,-0.002117,-2.806931,0.000030,0.000904,-0.001251,0.000124,0.000771,-1.957671,0.000051,0.000740,-0.001359
1.2000,-0.006063,-0.002116,-2.806807,0.000029,0.000904,-0.001251,0.000129,0.000791,-1.957782,0.000069,0.000916,-0.001280
1.2500,-0.006063,-0.002116,-2.806684,0.000029,0.000905,-0.001251,0.000134,0.000821,-1.957434,0.000156,0.000808,-0.001124
