t,gt_x,gt_y,gt_z,gt_roll,gt_pitch,gt_yaw,est_x,est_y,est_z,est_roll,est_pitch,est_yaw
0.0000,-0.005498,-0.001899,-2.825362,0.000050,0.001071,-0.001120,0.183415,-0.034282,-1.975960,0.000116,0.001171,-0.001197
0.0000,-0.005498,-0.001899,-2.825362,0.000050,0.001071,-0.001120,0.183415,-0.034282,-1.975960,0.000116,0.001171,-0.001197
0.0500,-0.005498,-0.001899,-2.825198,0.000048,0.001074,-0.001120,0.187358,-0.039791,-1.975542,0.000139,0.001117,-0.001099
0.1000,-0.005499,-0.001898,-2.825035,0.000047,0.001077,-0.001120,0.193276,-0.048054,-1.975621,0.000092,0.001235,-0.001185
0.1500,-0.005499,-0.001898,-2.824874,0.000045,0.001080,-0.001120,0.197219,-0.053562,-1.975208,-0.000035,0.001066,-0.001035
0.2000,-0.005499,-0.001898,-2.824714,0.000044,0.001083,-0.001120,0.203137,-0.061823,-1.975296,0.000190,0.000955,-0.001116
0.2500,-0.005500,-0.001897,-2.824556,0.000043,0.001086,-0.001120,0.207080,-0.067331,-1.974888,0.000064,0.001042,-0.001160
0.3000,-0.005500,-0.001897,-2.824400,0.000042,0.001088,-0.001120,0.212997,-0.075593,-1.974984,-0.000045,0.001097,-0.001094
0.3500,-0.005500,-0.001897,-2.824245,0.000040,0.001091,-0.001120,0.216938,-0.081099,-1.974578,0.000025,0.000982,-0.001002
0.4000,-0.005501,-0.001897,-2.824092,0.000039,0.001093,-0.001120,0.222851,-0.089359,-1.974682,0.000054,0.001096,-0.001216
0.4500,-0.005501,-0.001896,-2.823940,0.000038,0.001095,-0.001120,0.226791,-0.094867,-1.974280,0.000151,0.001097,-0.001029
0.5000,-0.005501,-0.001896,-2.823790,0.000037,0.001097,-0.001120,0.322818,0.031102,-1.974400,0.000003,0.001046,-0.001126
0.5500,-0.005502,-0.001896,-2.823641,0.000036,0.001099,-0.001120,0.329401,0.029528,-1.973996,0.000159,0.001057,-0.001037
