t,gt_x,gt_y,gt_z,gt_roll,gt_pitch,gt_yaw,est_x,est_y,est_z,est_roll,est_pitch,est_yaw
0.0000,-0.006632,-0.002354,-2.792112,0.000035,0.000691,-0.001378,0.414176,0.044961,-1.942863,-0.000099,0.000678,-0.001289
0.0000,-0.006632,-0.002354,-2.792112,0.000035,0.000691,-0.001378,0.414176,0.044961,-1.942863,-0.000099,0.000678,-0.001289
0.0500,-0.006633,-0.002354,-2.791985,0.000034,0.000692,-0.001378,0.425825,0.047491,-1.942994,-0.000025,0.000914,-0.001309
0.1000,-0.006634,-0.002354,-2.791859,0.000034,0.000693,-0.001378,0.433591,0.049178,-1.942604,-0.000018,0.000644,-0.001295
0.1500,-0.006634,-0.002353,-2.791734,0.000033,0.000695,-0.001378,0.445242,0.051708,-1.942741,-0.000102,0.000744,-0.001299
0.2000,-0.006635,-0.002353,-2.791610,0.000032,0.000696,-0.001378,0.453009,0.053397,-1.942355,-0.000124,0.000730,-0.001261
0.2500,-0.006636,-0.002353,-2.791488,0.000032,0.000697,-0.001378,0.464660,0.055931,-1.942497,0.000154,0.000662,-0.001375
0.3000,-0.006636,-0.002353,-2.791367,0.000031,0.000698,-0.001378,0.472426,0.057621,-1.942112,0.000046,0.000738,-0.001413
0.3500,-0.006637,-0.002353,-2.791247,0.000031,0.000699,-0.001378,0.484077,0.060154,-1.942262,-0.000307,0.000677,-0.001272
0.4000,-0.006637,-0.002353,-2.791128,0.000030,0.000700,-0.001378,0.491843,0.061845,-1.941878,-0.000002,0.000593,-0.001575
0.4500,-0.006638,-0.002353,-2.791010,0.000030,0.000701,-0.001378,0.503493,0.064381,-1.942031,0.000130,0.000579,-0.001279
0.5000,-0.006639,-0.002353,-2.790894,0.000029,0.000702,-0.001378,0.359588,0.056297,-1.941642,0.000012,0.000714,-0.001568
0.5500,-0.006639,-0.002352,-2.790779,0.000029,0.000702,-0.001378,0.364641,0.058411,-1.941799,-0.000072,0.000645,-0.001446
0.6020,-0.006640,-0.002352,-2.790665,0.000028,0.000703,-0.001378,0.368009,0.059823,-1.941420,0.000005,0.000555,-0.001356
0.6500,-0.006640,-0.002352,-2.790552,0.000028,0.000704,-0.001378,0.373059,0.061940,-1.941582,0.000103,0.000698,-0.001327
0.7000,-0.006641,-0.002352,-2.790440,0.000028,0.000705,-0.001378,0.376426,0.063351,-1.941203,-0.000046,0.000610,-0.001338
0.7500,-0.006642,-0.002352,-2.790330,0.000027,0.000705,-0.001378,0.381475,0.065466,-1.941369,0.000000,0.000775,-0.001386
0.8020,-0.006642,-0.002352,-2.790220,0.000027,0.000706,-0.001378,0.384841,0.066873,-1.940991,0.000314,0.000607,-0.001411
0.8520,-0.006643,-0.002352,-2.790112,0.000027,0.000707,-0.001378,0.389893,0.068983,-1.941162,-0.000009,0.000624,-0.001340
0.9000,-0.006643,-0.002352,-2.790005,0.000027,0.000707,-0.001378,0.393261,0.070389,-1.940783,0.000014,0.000599,-0.001273
0.9500,-0.006644,-0.002352,-2.789899,0.000026,0.000708,-0.001378,0.398313,0.072497,-1.940959,0.000049,0.000842,-0.001583
1.0020,-0.006644,-0.002351,-2.789794,0.000026,0.000708,-0.001378,0.401683,0.073901,-1.940580,-0.000032,0.000652,-0.001524
1.0500,-0.006645,-0.002351,-2.789690,0.000026,0.000709,-0.001378,0.406739,0.076011,-1.940759,0.000071,0.000643,-0.001427
1.1000,-0.006646,-0.002351,-2.789587,0.000026,0.000709,-0.001378,0.410108,0.077418,-1.940380,0.000249,0.000872,-0.001319
1.1500,-0.006646,-0.002351,-2.789485,0.000025,0.000710,-0.001378,0.415163,0.079529,-1.940563,0.000028,0.000717,-0.001391
1.2000,-0.006647,-0.002351,-2.789384,0.000025,0.000710,-0.001378,0.418532,0.080935,-1.940184,0.000192,0.000813,-0.001283
1.2500,-0.006647,-0.002351,-2.789284,0.000025,0.000711,-0.001378,0.423588,0.083045,-1.940371,-0.000061,0.000681,-0.001391
1.3000,-0.006648,-0.002351,-2.789185,0.000025,0.000711,-0.001378,0.426957,0.084451,-1.939992,0.000054,0.000748,-0.001515
1.3500,-0.006648,-0.002351,-2.789088,0.000025,0.000712,-0.001378,0.432015,0.086562,-1.940181,0.000130,0.000727,-0.001521
1.4000,-0.006649,-0.002351,-2.788991,0.000025,0.000712,-0.001378,0.435385,0.087968,-1.939803,-0.000074,0.000651,-0.001340
1.4500,-0.006649,-0.002351,-2.788895,0.000024,0.000712,-0.001378,0.440443,0.090077,-1.939995,-0.000014,0.000794,-0.001476
1.5000,-0.006650,-0.002351,-2.788800,0.000024,0.000713,-0.001378,-0.210056,-0.067301,-1.939583,0.000129,0.000814,-0.001605
1.5500,-0.006651,-0.002351,-2.788706,0.000024,0.000713,-0.001378,-0.233728,-0.072167,-1.939773,-0.000089,0.000654,-0.001469
1.6000,-0.006651,-0.002351,-2.788613,0.000024,0.000713,-0.001378,-0.249509,-0.075411,-1.939401,-0.000029,0.000823,-0.001215
1.6500,-0.006652,-0.002350,-2.788521,0.000024,0.000714,-0.001378,-0.273178,-0.080278,-1.939594,-0.000028,0.000735,-0.001399
1.7000,-0.006652,-0.002350,-2.788430,0.000024,0.000714,-0.001378,-0.288957,-0.083520,-1.939223,0.000148,0.000793,-0.001448
1.7500,-0.006653,-0.002350,-2.788340,0.000024,0.000715,-0.001378,-0.312625,-0.088382,-1.939419,0.000055,0.000818,-0.001265
1.8020,-0.006653,-0.002350,-2.788251,0.000024,0.000715,-0.001378,-0.328402,-0.091623,-1.939049,0.000197,0.000775,-0.001269
1.8500,-0.006654,-0.002350,-2.788163,0.000024,0.000715,-0.001378,-0.352066,-0.096487,-1.939249,0.000084,0.000573,-0.001419
1.9000,-0.006654,-0.002350,-2.788075,0.000024,0.000715,-0.001378,-0.367844,-0.099729,-1.938880,-0.000047,0.000648,-0.001238
1.9500,-0.006655,-0.002350,-2.787989,0.000024,0.000716,-0.001378,-0.391509,-0.104593,-1.939083,-0.000121,0.000428,-0.001451
2.0000,-0.006655,-0.002350,-2.787903,0.000023,0.000716,-0.001378,-0.407288,-0.107836,-1.938715,0.000073,0.000585,-0.001434
2.0500,-0.006656,-0.002350,-2.787818,0.000023,0.000716,-0.001378,-0.430957,-0.112701,-1.938922,0.000104,0.000778,-0.001362
2.1000,-0.006656,-0.002350,-2.787734,0.000023,0.000717,-0.001378,-0.446738,-0.115944,-1.938551,0.000002,0.000681,-0.001406
2.1500,-0.006657,-0.002350,-2.787651,0.000023,0.000717,-0.001378,-0.470407,-0.120809,-1.938759,-0.000051,0.000688,-0.001545
2.2020,-0.006657,-0.002350,-2.787569,0.000023,0.000717,-0.001378,-0.486187,-0.124052,-1.938390,-0.000051,0.000539,-0.001300
2.2500,-0.006657,-0.002350,-2.787488,0.000023,0.000717,-0.001378,-0.509858,-0.128917,-1.938600,-0.000163,0.000735,-0.001356
2.3000,-0.006658,-0.002350,-2.787407,0.000023,0.000718,-0.001377,-0.525639,-0.132160,-1.938230,0.000052,0.000774,-0.001436
2.3500,-0.006658,-0.002350,-2.787327,0.000023,0.000718,-0.001377,-0.549308,-0.137025,-1.938442,0.000115,0.000796,-0.001436
2.4000,-0.006659,-0.002350,-2.787248,0.000023,0.000718,-0.001377,-0.565088,-0.140268,-1.938073,-0.000117,0.000858,-0.001373
2.4500,-0.006659,-0.002350,-2.787170,0.000023,0.000718,-0.001377,-0.588755,-0.145137,-1.938286,-0.000047,0.000729,-0.001261
2.5000,-0.006660,-0.002349,-2.787093,0.000023,0.000719,-0.001377,-0.099572,-0.073168,-1.937942,-0.000018,0.000695,-0.001355
2.5500,-0.006660,-0.002349,-2.787016,0.000023,0.000719,-0.001377,-0.101048,-0.074729,-1.938161,-0.000002,0.000612,-0.001497
2.6020,-0.006661,-0.002349,-2.786941,0.000023,0.000719,-0.001377,-0.102032,-0.075770,-1.937789,-0.000088,0.000672,-0.001346
2.6500,-0.006661,-0.002349,-2.786865,0.000023,0.000719,-0.001377,-0.103511,-0.077330,-1.938010,-0.000019,0.000780,-0.001172
2.7000,-0.006662,-0.002349,-2.786791,0.000023,0.000720,-0.001377,-0.104497,-0.078370,-1.937639,-0.000175,0.000572,-0.001465
2.7500,-0.006662,-0.002349,-2.786718,0.000023,0.000720,-0.001377,-0.105977,-0.079930,-1.937861,-0.000022,0.000625,-0.001443
2.8000,-0.006662,-0.002349,-2.786645,0.000023,0.000720,-0.001377,-0.106964,-0.080972,-1.937491,-0.000034,0.000743,-0.001323
2.8520,-0.006663,-0.002349,-2.786573,0.000023,0.000720,-0.001377,-0.108445,-0.082533,-1.937714,0.000167,0.000706,-0.001534
2.9000,-0.006663,-0.002349,-2.786502,0.000023,0.000721,-0.001377,-0.109433,-0.083575,-1.937346,-0.000004,0.000692,-0.001396
2.9500,-0.006664,-0.002349,-2.786431,0.000023,0.000721,-0.001377,-0.110914,-0.085137,-1.937570,0.000092,0.000827,-0.001285
3.0000,-0.006664,-0.002349,-2.786361,0.000023,0.000721,-0.001377,-0.111900,-0.086180,-1.937203,0.000015,0.000640,-0.001345
3.0500,-0.006665,-0.002349,-2.786292,0.000023,0.000721,-0.001377,-0.113379,-0.087744,-1.937429,0.000023,0.000835,-0.001169
3.1000,-0.006665,-0.002349,-2.786224,0.000023,0.000721,-0.001377,-0.114366,-0.088787,-1.937063,-0.000161,0.000623,-0.001308
3.1500,-0.006665,-0.002349,-2.786156,0.000023,0.000722,-0.001377,-0.115847,-0.090347,-1.937290,0.000171,0.000880,-0.001387
3.2000,-0.006666,-0.002349,-2.786089,0.000023,0.000722,-0.001377,-0.116836,-0.091387,-1.936926,0.000211,0.000783,-0.001384
3.2500,-0.006666,-0.002349,-2.786023,0.000023,0.000722,-0.001377,-0.118319,-0.092949,-1.937155,-0.000044,0.000758,-0.001503
3.3000,-0.006667,-0.002349,-2.785957,0.000023,0.000722,-0.001377,-0.119310,-0.093991,-1.936792,0.000078,0.000653,-0.001216
3.3500,-0.006667,-0.002349,-2.785892,0.000023,0.000722,-0.001377,-0.120795,-0.095553,-1.937022,-0.000096,0.000727,-0.001301
3.4000,-0.006667,-0.002349,-2.785828,0.000023,0.000723,-0.001377,-0.121786,-0.096594,-1.936661,-0.000029,0.000601,-0.001251
3.4500,-0.006668,-0.002349,-2.785764,0.000023,0.000723,-0.001377,-0.123273,-0.098157,-1.936892,-0.000022,0.000589,-0.001242
3.5020,-0.006668,-0.002349,-2.785701,0.000023,0.000723,-0.001377,-0.148578,-0.379217,-1.936532,0.000033,0.000932,-0.001474
3.5500,-0.006669,-0.002349,-2.785639,0.000023,0.000723,-0.001377,-0.151135,-0.393081,-1.936764,-0.000140,0.000832,-0.001330
3.6000,-0.006669,-0.002349,-2.785577,0.000023,0.000723,-0.001377,-0.152838,-0.402322,-1.936405,0.000177,0.000778,-0.001357
3.6500,-0.006669,-0.002349,-2.785516,0.000023,0.000723,-0.001377,-0.155391,-0.416187,-1.936639,-0.000065,0.000836,-0.001256
3.7000,-0.006670,-0.002349,-2.785455,0.000023,0.000724,-0.001377,-0.157090,-0.425430,-1.936282,-0.000032,0.000893,-0.001444
3.7500,-0.006670,-0.002349,-2.785395,0.000023,0.000724,-0.001377,-0.159639,-0.439292,-1.936515,0.000057,0.000750,-0.001316
3.8000,-0.006670,-0.002349,-2.785336,0.000023,0.000724,-0.001377,-0.161339,-0.448533,-1.936160,0.000020,0.000608,-0.001285
3.8500,-0.006671,-0.002349,-2.785277,0.000023,0.000724,-0.001377,-0.163891,-0.462393,-1.936396,-0.000188,0.000720,-0.001372
3.9000,-0.006671,-0.002349,-2.785219,0.000023,0.000724,-0.001377,-0.165594,-0.471632,-1.936041,0.000154,0.000635,-0.001306
3.9500,-0.006672,-0.002349,-2.785162,0.000023,0.000725,-0.001377,-0.168149,-0.485489,-1.936279,0.000093,0.000695,-0.001375
4.0000,-0.006672,-0.002348,-2.785105,0.000023,0.000725,-0.001377,-0.169854,-0.494727,-1.935926,0.000196,0.000730,-0.001290
4.0500,-0.006665,-0.002346,-2.785238,0.000022,0.000688,-0.001376,-0.172404,-0.508585,-1.936337,0.000061,0.000567,-0.001326
4.1000,-0.006609,-0.002330,-2.786408,0.000012,0.000433,-0.001364,-0.174072,-0.517816,-1.936988,-0.000053,0.000463,-0.001458
4.1500,-0.006478,-0.002295,-2.789183,-0.000048,-0.000114,-0.001335,-0.176482,-0.531642,-1.940351,-0.000063,-0.000117,-0.001357
4.2000,-0.006286,-0.002251,-2.793659,-0.000193,-0.000864,-0.001288,-0.178032,-0.540850,-1.944178,-0.000135,-0.000868,-0.001225
4.2500,-0.006070,-0.002202,-2.799687,-0.000417,-0.001701,-0.001226,-0.180315,-0.554656,-1.951529,-0.000478,-0.001627,-0.001275
4.3000,-0.005863,-0.002151,-2.807034,-0.000688,-0.002546,-0.001157,-0.181837,-0.563859,-1.958260,-0.000682,-0.002681,-0.001205
4.3500,-0.005687,-0.002100,-2.815462,-0.000978,-0.003352,-0.001084,-0.184142,-0.577667,-1.968662,-0.001044,-0.003645,-0.000900
4.4000,-0.005548,-0.002051,-2.824756,-0.001267,-0.004091,-0.001013,-0.185717,-0.586871,-1.977343,-0.001369,-0.004061,-0.000908
4.4520,-0.005444,-0.002005,-2.834735,-0.001539,-0.004746,-0.000947,-0.188094,-0.600688,-1.989780,-0.001672,-0.004809,-0.000724
4.5000,-0.005366,-0.001965,-2.845251,-0.001782,-0.005307,-0.000888,0.326316,-0.209679,-1.999392,-0.001783,-0.005302,-0.001109
4.5500,-0.005304,-0.001932,-2.856187,-0.001990,-0.005774,-0.000839,0.346580,-0.205913,-2.013037,-0.002253,-0.005902,-0.000644
4.6000,-0.005247,-0.001907,-2.867453,-0.002159,-0.006152,-0.000800,0.360078,-0.203407,-2.023384,-0.002308,-0.006114,-0.000770
