t,gt_x,gt_y,gt_z,gt_roll,gt_pitch,gt_yaw,est_x,est_y,est_z,est_roll,est_pitch,est_yaw
0.0000,0.000125,0.000115,-2.601381,0.000040,0.000365,0.000013,0.426678,0.049229,-1.934934,-0.000005,0.000490,0.000061
0.0000,0.000125,0.000115,-2.601381,0.000040,0.000365,0.000013,0.426678,0.049229,-1.934934,-0.000005,0.000490,0.000061
0.0500,0.000125,0.000115,-2.601223,0.000039,0.000365,0.000014,0.438621,0.051942,-1.900082,0.000089,0.000257,-0.000119
0.1000,0.000124,0.000115,-2.601067,0.000039,0.000365,0.000014,0.446614,0.053747,-1.903773,0.000001,0.000466,0.000025
0.1500,0.000124,0.000115,-2.600912,0.000039,0.000365,0.000014,0.458563,0.056461,-1.873334,0.000144,0.000535,-0.000035
0.2000,0.000124,0.000115,-2.600758,0.000039,0.000365,0.000014,0.466555,0.058263,-1.875234,-0.000096,0.000505,0.000065
0.2500,0.000124,0.000115,-2.600607,0.000039,0.000365,0.000014,0.478504,0.060974,-1.849087,0.000081,0.000129,0.000206
0.3000,0.000124,0.000115,-2.600456,0.000039,0.000365,0.000014,0.486494,0.062776,-1.849545,0.000201,0.000357,-0.000041
0.3500,0.000124,0.000115,-2.600307,0.000039,0.000365,0.000014,0.498447,0.065485,-1.827470,0.000249,0.000304,0.000058
0.4000,0.000124,0.000115,-2.600160,0.000039,0.000365,0.000014,0.506435,0.067283,-1.826804,0.000112,0.000279,0.000185
0.4500,0.000123,0.000115,-2.600014,0.000039,0.000365,0.000014,0.365429,0.058505,-1.808503,0.000120,0.000435,0.000004
0.5000,0.000123,0.000115,-2.599869,0.000039,0.000365,0.000014,0.368922,0.059961,-1.806990,-0.000023,0.000515,0.000012
0.5500,0.000123,0.000115,-2.599726,0.000039,0.000365,0.000014,0.374160,0.062146,-1.792136,-0.000136,0.000514,0.000054
0.6000,0.000123,0.000115,-2.599584,0.000039,0.000365,0.000014,0.377656,0.063604,-1.790014,-0.000064,0.000308,0.000037
0.6500,0.000123,0.000115,-2.599443,0.000039,0.000365,0.000014,0.382896,0.065792,-1.778242,-0.000099,0.000557,-0.000041
0.7000,0.000123,0.000115,-2.599304,0.000039,0.000365,0.000014,0.386394,0.067250,-1.775713,0.000106,0.000341,-0.000028
0.7500,0.000123,0.000115,-2.599167,0.000039,0.000365,0.000014,0.391637,0.069437,-1.766653,-0.000110,0.000365,0.000159
0.8000,0.000122,0.000115,-2.599030,0.000039,0.000365,0.000014,0.395134,0.070896,-1.763885,-0.000013,0.000397,-0.000049
0.8500,0.000122,0.000115,-2.598895,0.000039,0.000365,0.000014,0.400378,0.073084,-1.757173,0.000072,0.000290,-0.000078
0.9000,0.000122,0.000115,-2.598761,0.000039,0.000365,0.000014,0.403874,0.074541,-1.754303,0.000051,0.000233,0.000065
0.9500,0.000122,0.000115,-2.598629,0.000039,0.000365,0.000014,0.409116,0.076726,-1.749589,0.000015,0.000425,-0.000056
1.0000,0.000122,0.000115,-2.598498,0.000039,0.000365,0.000014,0.412610,0.078183,-1.746726,-0.000007,0.000424,0.000068
1.0500,0.000122,0.000115,-2.598368,0.000039,0.000365,0.000014,0.417853,0.080368,-1.743682,0.000092,0.000369,-0.000026
1.1020,0.000122,0.000115,-2.598239,0.000039,0.000365,0.000014,0.421347,0.081823,-1.740910,0.000123,0.000439,0.000070
1.1500,0.000121,0.000115,-2.598112,0.000039,0.000365,0.000014,0.426590,0.084006,-1.739236,0.000126,0.000454,-0.000117
1.2000,0.000121,0.000115,-2.597986,0.000039,0.000365,0.000014,0.430084,0.085460,-1.736616,-0.000081,0.000375,-0.000016
1.2500,0.000121,0.000115,-2.597861,0.000039,0.000365,0.000014,0.435329,0.087644,-1.736038,-0.000100,0.000330,0.000023
1.3000,0.000121,0.000115,-2.597737,0.000039,0.000365,0.000015,0.438824,0.089100,-1.733616,0.000034,0.000178,-0.000044
